file,level,segment,tone,tone_label,majority,p_neg,p_neu,p_pos,confidence,coverage,n_clean,n_total,flag_review,reason
10.srt,segment,204-209,neu,neutral,neu,0.2,0.8,0.0,0.938,0.833,5,6,False,
2.srt,programme,-,neu,neutral,neu,0.031,0.969,0.0,0.949,0.584,97,166,False,
2.srt,segment,0-11,neu,neutral,neu,0.0,1.0,0.0,0.938,0.75,9,12,False,
2.srt,segment,12-23,neu,neutral,neu,0.0,1.0,0.0,0.948,0.583,7,12,False,
2.srt,segment,24-35,neu,neutral,neu,0.0,1.0,0.0,0.956,0.5,6,12,False,
2.srt,segment,36-47,neu,neutral,neu,0.0,1.0,0.0,0.96,0.333,4,12,True,low_coverage(0.33)
2.srt,segment,48-59,neu,neutral,neu,0.0,1.0,0.0,0.956,0.75,9,12,False,
2.srt,segment,60-71,neu,neutral,neu,0.0,1.0,0.0,0.947,0.5,6,12,False,
2.srt,segment,72-83,neu,neutral,neu,0.0,1.0,0.0,0.958,0.583,7,12,False,
2.srt,segment,84-95,neu,neutral,neu,0.125,0.875,0.0,0.936,0.667,8,12,False,
2.srt,segment,96-107,neu,neutral,neu,0.0,1.0,0.0,0.958,0.583,7,12,False,
2.srt,segment,108-119,neu,neutral,neu,0.2,0.8,0.0,0.936,0.417,5,12,False,
2.srt,segment,120-131,neu,neutral,neu,0.111,0.889,0.0,0.955,0.75,9,12,False,
2.srt,segment,132-143,neu,neutral,neu,0.0,1.0,0.0,0.928,0.583,7,12,False,
2.srt,segment,144-155,neu,neutral,neu,0.0,1.0,0.0,0.958,0.667,8,12,False,
2.srt,segment,156-165,neu,neutral,neu,0.0,1.0,0.0,0.949,0.5,5,10,False,
3.srt,programme,-,neu,neutral,neu,0.119,0.821,0.06,0.911,0.944,134,142,False,
3.srt,segment,0-11,pos,positive-leaning,neu,0.25,0.417,0.333,0.823,1.0,12,12,True,mixed_neg_pos
3.srt,segment,12-23,neu,neutral,neu,0.083,0.833,0.083,0.908,1.0,12,12,False,
3.srt,segment,24-35,neu,neutral,neu,0.167,0.75,0.083,0.903,1.0,12,12,False,
3.srt,segment,36-47,neu,neutral,neu,0.0,1.0,0.0,0.939,1.0,12,12,False,
3.srt,segment,48-59,neu,neutral,neu,0.083,0.917,0.0,0.925,1.0,12,12,False,
3.srt,segment,60-71,neu,neutral,neu,0.2,0.8,0.0,0.938,0.833,10,12,False,
3.srt,segment,72-83,neu,neutral,neu,0.091,0.727,0.182,0.854,0.917,11,12,False,
3.srt,segment,84-95,neu,neutral,neu,0.0,1.0,0.0,0.921,1.0,12,12,False,
3.srt,segment,96-107,neu,neutral,neu,0.0,1.0,0.0,0.952,0.917,11,12,False,
3.srt,segment,108-119,neu,neutral,neu,0.083,0.917,0.0,0.901,1.0,12,12,False,
3.srt,segment,120-131,neu,neutral,neu,0.182,0.818,0.0,0.952,0.917,11,12,False,
3.srt,segment,132-141,neg,negative-leaning,neu,0.429,0.571,0.0,0.927,0.7,7,10,False,
4.srt,programme,-,neu,neutral,neu,0.048,0.938,0.014,0.937,0.942,146,155,False,
4.srt,segment,0-11,neu,neutral,neu,0.167,0.75,0.083,0.924,1.0,12,12,False,
4.srt,segment,12-23,neu,neutral,neu,0.182,0.727,0.091,0.934,0.917,11,12,False,
4.srt,segment,24-35,neu,neutral,neu,0.0,1.0,0.0,0.941,1.0,12,12,False,
